BldgType,SalePrice
Twnhs,92000.0
1Fam,91500.0
Twnhs,91500.0
1Fam,91300.0
Twnhs,91000.0
1Fam,91000.0
1Fam,91000.0
1Fam,90350.0
Duplex,90000.0
2fmCon,90000.0
Duplex,90000.0
TwnhsE,89500.0
1Fam,89500.0
1Fam,89471.0
1Fam,89000.0
1Fam,88000.0
Twnhs,88000.0
1Fam,88000.0
TwnhsE,88000.0
Duplex,87500.0
1Fam,87000.0
1Fam,87000.0
1Fam,87000.0
1Fam,87000.0
Twnhs,86000.0
1Fam,86000.0
1Fam,86000.0
1Fam,85500.0
Twnhs,85400.0
1Fam,85000.0
TwnhsE,85000.0
1Fam,85000.0
1Fam,85000.0
1Fam,84900.0
2fmCon,84500.0
Twnhs,84500.0
1Fam,84500.0
1Fam,84000.0
TwnhsE,83500.0
1Fam,83000.0
Twnhs,83000.0
1Fam,82500.0
1Fam,82500.0
1Fam,82500.0
Duplex,82000.0
1Fam,82000.0
1Fam,82000.0
1Fam,81000.0
Twnhs,81000.0
1Fam,81000.0
1Fam,80500.0
1Fam,80000.0
TwnhsE,80000.0
1Fam,80000.0
2fmCon,80000.0
1Fam,79900.0
1Fam,79900.0
1Fam,79500.0
1Fam,79000.0
1Fam,79000.0
1Fam,79000.0
1Fam,78000.0
1Fam,76500.0
1Fam,76000.0
TwnhsE,75500.0
Twnhs,75000.0
1Fam,73000.0
1Fam,72500.0
1Fam,68500.0
1Fam,68400.0
1Fam,67000.0
1Fam,67000.0
1Fam,66500.0
1Fam,64500.0
1Fam,62383.0
1Fam,61000.0
1Fam,60000.0
1Fam,60000.0
1Fam,60000.0
1Fam,58500.0
1Fam,55993.0
2fmCon,55000.0
1Fam,55000.0
1Fam,52500.0
1Fam,52000.0
1Fam,40000.0
1Fam,39300.0
1Fam,37900.0
1Fam,35311.0
1Fam,34900.0
